title,year,href,details,blurb,citations
Capital structure of SMEs: to what extent does size matter?,1683,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1683161,"N Daskalakis, E Thanou - Available at SSRN 1683161, 2010 - papers.ssrn.com",The subject of the capital structure decision of firms has been thoroughly studied both theoretically and empirically. This paper adds to the existing literature by examining a number of hypotheses relating to the capital structure decision in relation to the firms' size …,32
Professional service firms are relationship marketers: but does size matter?,2008,https://www.sciencedirect.com/science/article/pii/S144135820870003X,"JR McColl-Kennedy, JC Sweeney, GN Soutar… - … Marketing Journal (AMJ …, 2008 - Elsevier",There are few research-based insights into professional service firms'(PSFs) contemporary marketing practices. This is unfortunate as the professional services sector is a key contributor to growth in the Australian and other economies around the world. As …,32
School district consolidation and student outcomes: Does size matter,2005,https://books.google.com/books?hl=en&lr=&id=m7X3B--Q1goC&oi=fnd&pg=PA56&dq=+%22does+size+matter%22&ots=-srcnLUZ2q&sig=kTAuDmMQTqY8Kl5465fZYx8Uu8E,"CR Berry - Besieged: School boards and the future of education …, 2005 - books.google.com","In a quiet revolution in the middle of the twentieth century, the public education system in the United States was radically revised. As late as 1930, local school districts, the governing units of American public education, were small, informally organized institutions, most …",32
Bladder neck stenosis after transurethral resection of prostate: does size matter?,2004,https://www.karger.com/Article/Abstract/80839,"W Al-Singary, M Arya, HRH Patel - Urologia internationalis, 2004 - karger.com",Aim: To understand the risk factors associated with the incidence of bladder neck stenosis (BNS) after transurethral prostate surgery. Patients and Methods: We retrospectively reviewed 900 patients who underwent transurethral prostate surgery over a 4-year period …,32
How much does size really matter? Exploring the limits of graphene as Li ion battery anode material,2017,https://www.sciencedirect.com/science/article/pii/S0038109816303556,"H Sun, A Varzi, V Pellegrini, DA Dinh… - Solid State …, 2017 - Elsevier",We unravel the role of flake dimensionality on the lithiation/de-lithiation processes and electrochemical performance of anodes based on few-(FLG) and multi-layer graphene (MLG) flakes prepared by liquid phase exfoliation (LPE) of pristine graphite. The flakes are …,32
Does size matter? Economies of scale in the banking industry,2011,https://clutejournals.com/index.php/JBER/article/view/4129,"JL Stimpert, JA Laux - Journal of Business & Economics …, 2011 - clutejournals.com","This study uses 2007 data from more than 1,200 banking institutions to examine the relationships among size, costs, and profitability in the banking industry. Our results suggest that the relationship between size and firm performance is complex. We find that while costs …",31
Does size matter? Experiences and perspectives of BIM implementation from large and SME construction contractors,2012,http://nrl.northumbria.ac.uk/10069/1/BIM_Gledson_Henry_Bleanch.pdf,"B Gledson, D Henry, P Bleanch - 2012 - nrl.northumbria.ac.uk",This paper presents the findings of a qualitative study into the experiences and perspectives of large and SME construction contractors towards the implementation of Building Information Modelling (BIM) within their organisations. Results of the survey were statistically …,31
Does size matter? Conservation implications of differing woody population sizes with equivalent occurrence and diversity of species for threatened savanna habitats,2014,https://link.springer.com/article/10.1007/s10531-014-0651-4,"HA Mews, JRR Pinto, PV Eisenlohr, E Lenza - Biodiversity and …, 2014 - Springer",The Cerrado stands out from other savannas of the world for hosting the highest biodiversity and for its ongoing massive destruction. Savannas on plain relief and with deep soils (DS) in Central Brazil have been widely converted into agropastoral ecosystems. In contrast …,31
Effect of pancreatic duct stent diameter on hospitalization in chronic pancreatitis: does size matter?,2009,https://journals.lww.com/pancreasjournal/fulltext/2009/10000/effect_of_pancreatic_duct_stent_diameter_on.3.aspx,"BG Sauer, MJ Gurka, K Ellen, VM Shami, M Kahaleh - Pancreas, 2009 - journals.lww.com","Objective: Endoscopic therapy with pancreatic duct (PD) stenting in painful chronic pancreatitis is effective at reducing pain. Few studies have compared response to different PD stent diameters. In this study, we retrospectively analyzed the effect of PD stent diameter …",31
Internet auction sellers: does size really matter?,2003,https://www.emerald.com/insight/content/doi/10.1108/10662240310478204/full/html,"D Halstead, RC Becherer - Internet Research, 2003 - emerald.com","Internet marketing is a field which is continuing to grow, and the online auction concept may be defining a totally new and unique distribution alternative. Very few studies have examined auction sellers and their Internet marketing strategies. This research examines the …",31
Does size really matter? The impact of prostate volume on the efficacy and safety of GreenLight HPS™ laser photoselective vaporization of the prostate,2012,https://www.liebertpub.com/doi/abs/10.1089/end.2011.0457,"X Gu, GJ Vricella, M Spaliviero, C Wong - Journal of endourology, 2012 - liebertpub.com",Purpose: To evaluate the efficacy and safety of GreenLight HPS™ laser photoselective vaporization of the prostate (PVP) for the treatment of benign prostatic hyperplasia (BPH) in patients with different prostate volumes. Patients and Methods: Between July 2006 and …,31
Does size matter in predicting SMEs failure?,2018,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijfe.1638,"J Gupta, M Barzotto… - International Journal of …, 2018 - Wiley Online Library","This study acknowledges the diversity between micro, small, and medium‐sized firms while predicting bankruptcy and financial distress of the United States small and medium‐sized enterprises. Empirical findings suggest that survival (failure) probability increases …",30
Metastatic lymph nodes in hilar cholangiocarcinoma: does size matter?,2011,https://www.sciencedirect.com/science/article/pii/S1365182X15303956,"AT Ruys, FJW Ten Kate, OR Busch, MR Engelbrecht… - HPB, 2011 - Elsevier",Aim To determine the diagnostic efficacy of the size criteria for the detection of metastatic lymph nodes (LN) in patients with hilar cholangiocarcinoma (HCCA). Introduction LN metastasis is one of the most significant independent prognostic factors in patients with …,30
An analysis of the virtual classroom: Does size matter? Do residencies make a difference? Should you hire that instructional designer?,2006,https://www.jstor.org/stable/40324327,"B Kingma, S Keefe - Journal of Education for Library and Information …, 2006 - JSTOR","Using 2003-2004 data from the Syracuse University School of Information Studies distance education program, we use regression analysis to examine the impact of enrollment, faculty teaching experience, online faculty pedagogical training, and help from an instructional …",30
Invasion success: does size really matter?,2002,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1461-0248.2002.00306.x,"AW Miller, CL Hewitt, GM Ruiz - Ecology Letters, 2002 - Wiley Online Library","The recent paper by Roy et al.(2001) presents a compelling relationship between range limit shifts, climatic fluctuations, and body size for marine bivalves in the fossil record. However, their extension of body size as a correlate for contemporary marine bivalve introductions is …",30
Does size really matter? A multisite study assessing the latent structure of the proposed ICD-11 and DSM-5 diagnostic criteria for PTSD,2017,https://www.tandfonline.com/doi/abs/10.1080/20008198.2017.1398002,"M Hansen, P Hyland, KI Karstoft… - European Journal of …, 2017 - Taylor & Francis",Background: Researchers and clinicians within the field of trauma have to choose between different diagnostic descriptions of posttraumatic stress disorder (PTSD) in the DSM-5 and the proposed ICD-11. Several studies support different competing models of the PTSD …,30
… practices and challenges in industrial control organizations regarding information security incident management–Does size matter? Information security incident …,2016,https://www.sciencedirect.com/science/article/pii/S1874548215000815,"MB Line, IA Tøndel, MG Jaatun - International Journal of Critical …, 2016 - Elsevier",This paper reports on the results of an interview study that surveyed current practices regarding information security incident management in small and large distribution system operators (DSOs) in the Norwegian electric power industry. The findings indicate that current …,29
Endoscopic fenestration of middle cranial fossa arachnoid cysts: does size matter?,2011,https://www.sciencedirect.com/science/article/pii/S0967586810007940,"RD Johnson, S Chapman, S Bojanic - Journal of Clinical Neuroscience, 2011 - Elsevier",The middle cranial fossa (MCF) is the commonest location for intracranial arachnoid cysts and there has long been controversy regarding the optimal surgical management. Over the last 10 years there has been an increased interest in the potential of endoscopic techniques …,29
EVA: does size matter?,2009,https://www.worldscientific.com/doi/abs/10.1142/S0219091509001629,"J Hamilton, S Rahman, AC Lee - Review of Pacific Basin Financial …, 2009 - World Scientific","Value-added performance measures, such as economic value added (EVA), are promoted as a means to better align managerial incentives and improve firm performance. This paper empirically examines whether EVA adopters outperform a peer group of non-adopters over …",28
Does size matter? Examining the drivers of mammalian vocalizations,2017,https://onlinelibrary.wiley.com/doi/abs/10.1111/evo.13128,"K Martin, MA Tucker, TL Rogers - Evolution, 2017 - Wiley Online Library","Previous studies of the vocalization frequencies of mammals have suggested that it is either body mass or environment that drives these frequencies. Using 193 species across the globe from the terrestrial and aquatic environments and a model selection approach, we …",28
Does size matter?-objectives and measures at UK trade exhibitions,1997,https://www.tandfonline.com/doi/abs/10.1080/135272697346041,"J Blythe - Journal of Marketing Communications, 1997 - Taylor & Francis","This paper examines the evaluation of exhibition activity by firms at UK trade shows. Despite the widespread use of trade exhibitions as a promotional tool and the large sums of money committed to the activity by firms of all sizes, most firms do not have any meaningful means …",28
Does size matter? Comparison of extraction yields for different-sized DNA fragments by seven different routine and four new circulating cell-free extraction methods,2018,https://journals.asm.org/doi/abs/10.1128/jcm.01061-18,"L Cook, K Starr, J Boonyaratanakornkit… - Journal of clinical …, 2018 - Am Soc Microbiol","An element essential for PCR detection of microbial agents in many sample types is the extraction step, designed to purify nucleic acids. Despite the importance of this step, yields have not been extensively compared across methods to determine whether the method …",28
Does size matter? The relationship between volume and outcome in the care of major trauma,2006,https://journals.sagepub.com/doi/abs/10.1258/135581906776318857,"J Freeman, J Nicholl, J Turner - Journal of health services …, 2006 - journals.sagepub.com","Objectives: To investigate the relationship between case volume and outcome for major trauma patients. Methods: Prospective follow-up study of all major trauma patients (with injury severity score> 15) arriving alive, with no invariably fatal injury, at 14 English …",28
"Evaluating brand extensions, fit perceptions and post-extension brand image: does size matter?",2014,https://www.tandfonline.com/doi/abs/10.1080/0267257X.2014.926962,"F Dall'Olmo Riley, C Hand, F Guido - Journal of Marketing …, 2014 - Taylor & Francis",This study contributes to the scant literature considering brand extensions in a competitive context and investigates whether the correlation between consumers' beliefs about a brand's attributes and the number of its buyers described in previous research occurs with regard to …,28
Public-sector research in small countries: does size matter?,2000,https://academic.oup.com/spp/article-abstract/27/6/433/1626218,"H Thorsteinsdóttir - Science and Public Policy, 2000 - academic.oup.com","This paper explores challenges and difficulties faced by small countries in developing their public research systems (PRS). It compares Hungary (population around 10 million), Iceland (population around 300,000) and Ireland (population around 3.5 million) to identify national …",28
Does size matter? A genetic programming approach to technical trading,2010,https://www.tandfonline.com/doi/full/10.1080/14697680902773629,"J How, M Ling, P Verhoeven - Quantitative Finance, 2010 - Taylor & Francis","Introduced in 1970 by Eugene Fama, the Efficient Market Hypothesis (EMH) has become a central proposition in the finance literature. If EMH holds, any trading strategy that relies on the assumption that past prices contain information that can be used to consistently earn …",28
Reforming the business tax system: Does size matter? Fundamental issues in small business taxation,2009,https://ifs.org.uk/conferences/freedman_australia.pdf,"J Freedman - R. a. E. Krever, C.,(Ed.), Australian Business Tax …, 2009 - ifs.org.uk",Tax systems are generally not designed so much as developed over the years in an incremental way. The review of Australia's future tax system currently under discussion under the chairmanship of Dr Ken Henry (the Henry Review) offers an opportunity to look at …,28
Mandatory sustainability reporting in Germany: does size matter?,2018,https://www.mdpi.com/357300,"A Bergmann, P Posch - Sustainability, 2018 - mdpi.com",This article studies how German firms evaluate a recent national corporate social responsibility (CSR) law based on a European Union directive and the burden they expect regarding their organizational responsibilities due to mandatory sustainability reporting. One …,27
Turf transplants for restoration of alpine vegetation: does size matter?,2012,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2664.2012.02123.x,"AL Aradottir - Journal of Applied Ecology, 2012 - Wiley Online Library","Turfs transplanted from native vegetation can be used to restore diverse plant communities on disturbed sites. There is, however, limited understanding of optimal turf size and the tolerance of different plant communities and species to transplanting. 2. The effects of turf …",27
Male organ and economic growth: does size matter?,2011,https://mpra.ub.uni-muenchen.de/id/eprint/32302,T Westling - 2011 - mpra.ub.uni-muenchen.de,This paper explores the link between economic development and penile length between 1960 and 1985. It estimates an augmented Solow model utilizing the Mankiw-Romer-Weil 121 country dataset. The size of male organ is found to have an inverse U-shaped …,26
Undergraduate research methods: Does size matter? A look at the attitudes and outcomes of students in a hybrid class format versus a traditional class format,2009,https://www.tandfonline.com/doi/abs/10.1080/10511250903200493,"JA Gordon, CM Barnes, KJ Martin - Journal of Criminal Justice …, 2009 - Taylor & Francis",The goal of this study is to understand if there are any variations regarding student engagement and course outcomes based on the course format. A new course format was introduced in fall of 2006 that involves a hybrid approach (large lecture with small …,26
Lending relationships and loan contract terms: Does size matter,2006,https://www.researchgate.net/profile/Anthony-Saunders/publication/5042652_Lending_relationships_and_loan_contract_terms_does_size_matter/links/5582c6ce08ae6cf036c2e2b3/Lending-relationships-and-loan-contract-terms-does-size-matter.pdf,"S Bharath, S Dahiya, A Saunders… - Journal of Financial …, 2006 - researchgate.net","While existing literature has documented the benefits of relationship banking for small privately held businesses, there is little empirical work that examines whether lending relationships provide significant (if any) benefits to larger borrowers. Our paper addresses …",26
Does size matter,2002,https://uh.edu/tech/cisre/resources/ia-resources/_files/7033/Week1/2002survey.pdf,"A Briney, F Prince - Information Security, 2002 - uh.edu","Many IT security practitioners dream about working in a high-profile job at a big Fortune 500 firm, surrounded by dozens of like-minded security experts all focused on locking down the enterprise network. While very large organizations do have dozens of full-and part-time …",25
"Does size matter? Foreign aid in Taiwan's diplomatic strategy, 2000–8",2011,https://www.tandfonline.com/doi/abs/10.1080/10357718.2011.563777,"C Tubilewicz, A Guilloux - Australian Journal of International Affairs, 2011 - Taylor & Francis","This article is the first systematic attempt at estimating the size of Taiwanese foreign aid and, thus, the cost of Taiwan's aid diplomacy. It questions the Republic of China (ROC) President Ma Ying-jeou's justification of his 'diplomatic truce'with China as necessitated by an …",25
Does size matter? Statistical limits of paleomagnetic field reconstruction from small rock specimens,2016,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2015JB012441,"T Berndt, AR Muxworthy… - Journal of Geophysical …, 2016 - Wiley Online Library","As samples of ever decreasing sizes are being studied paleomagnetically, care has to be taken that the underlying assumptions of statistical thermodynamics (Maxwell‐Boltzmann statistics) are being met. Here we determine how many grains and how large a magnetic …",25
Defining criteria for selective operative management of pancreatic cystic lesions: does size really matter?,2010,https://link.springer.com/article/10.1007/s11605-009-1078-1,"EP Ceppa, G Sebastian, SK Reddy, SS Stinnett… - Journal of …, 2010 - Springer","Introduction Proposed criteria for resection of pancreatic cystic lesions have included symptoms, size (> 3 cm), and suspicious features by endoscopic ultrasound (EUS). The objective of this study was to evaluate risk factors for malignancy in a large series of patients …",25
Post-mastectomy radiation in large node-negative breast tumors: Does size really matter?,2009,https://www.sciencedirect.com/science/article/pii/S0167814008005173,"SR Floyd, AG Taghian - Radiotherapy and Oncology, 2009 - Elsevier","Abstract Treatment decisions regarding local control can be particularly challenging for T3N0 breast tumors because of difficulty in estimating rates of local failure after mastectomy. Reports in the literature detailing the rates of local failure vary widely, likely owing to the …",25
Big Data: Does Size Matter?,2016,https://books.google.com/books?hl=en&lr=&id=XbNnCwAAQBAJ&oi=fnd&pg=PT6&dq=+%22does+size+matter%22&ots=84xWJXCc8u&sig=reQ3odF58h1kXakOTWZrFqX3pWY,T Harkness - 2016 - books.google.com,"What is Big Data, and why should you care? Big data knows where you've been and who your friends are. It knows what you like and what makes you angry. It can predict what you'll buy, where you'll be the victim of crime and when you'll have a heart attack. Big data knows …",24
Seller strategies on eBay: Does size matter?,2007,https://www.inderscienceonline.com/doi/abs/10.1504/IJEB.2007.016476,"ST Anderson, D Friedman, G Milam… - … Journal of Electronic …, 2007 - inderscienceonline.com","We examine seller tactics in 1177 eBay auctions. The largest volume sellers make rather homogeneous choices; smaller sellers are more heterogeneous. Some tactics, such as starting the auction with a'Buy it Now'offer, appear to increase revenue. Perhaps due to …",24
Does size matter: the role and significance of cereal grains in the Indus civilization,2010,https://link.springer.com/article/10.1007/s12520-010-0025-0,"S Weber, A Kashyap, D Harriman - Archaeological and Anthropological …, 2010 - Springer",Cereal grains play a pivotal role in the rise and character of the Indus civilization. Archaeologists have traditionally focused their attention on the large-grained crops of wheat and barley while often minimizing the importance of the smaller-grained millets. Both …,24
Does size matter? The effects of body size and declining oxygen tension on oxygen uptake in gastropods,2012,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/does-size-matter-the-effects-of-body-size-and-declining-oxygen-tension-on-oxygen-uptake-in-gastropods/BE14AD6FF977EC320B3206857040CA27,"ID Marsden, SE Shumway, DK Padilla - Journal of the Marine …, 2012 - cambridge.org",Metabolic rate is one of the most frequently measured physiological variables and the relationship between oxygen uptake and body mass is one of the most controversial issues in biology. The present study used closed chamber respirometry to compare the oxygen …,24
Competitive relationships in a fertile grassland community–does size matter?,2002,https://link.springer.com/content/pdf/10.1007/s00442-002-0935-3.pdf,"J Warren, F Wilson, A Diaz - Oecologia, 2002 - Springer","There is currently much debate about the relative importance of two contrasting mechanisms thought to be involved in regulating plant communities. One of these mechanisms is thought to result from species which possess particular traits, becoming dominant within the …",24
Effect of prostate gland size on the learning curve for robot-assisted laparoscopic radical prostatectomy: does size matter initially?,2010,https://www.liebertpub.com/doi/abs/10.1089/end.2009.0325,"CH Martinez, V Chalasani, D Lim, L Nott… - Journal of …, 2010 - liebertpub.com",Abstract Background and Purpose: Widespread introduction of robot-assisted laparoscopic radical prostatectomy (RALRP) has led to multiple surgeons going through the learning curve (LC). One of the recommendations for surgeons on the LC for RALRP is to choose …,24
Nerve quantification and computerized planimetry to evaluate periprostatic nerve distribution—does size matter?,2009,https://www.sciencedirect.com/science/article/pii/S0090429509001939,"R Ganzer, A Blana, JU Stolzenburg, R Rabenalt… - Urology, 2009 - Elsevier",Objectives To investigate whether prostate size influences periprostatic nerve distribution (PND). Recent studies have revealed variable sPND. No investigations have been done concerning potential factors that might affect anatomic variability. Methods Whole mount …,24
Does size matter? – Thermoregulation of 'heavyweight' and 'lightweight' wasps (Vespa crabro and Vespula sp.),2012,https://journals.biologists.com/bio/article-abstract/1/9/848/19737,"H Kovac, A Stabentheiner - Biology open, 2012 - journals.biologists.com","In insect groups with the ability of endothermy, the thermoregulatory capacity has a direct relation to body mass. To verify this relationship in vespine wasps, we compared the thermoregulation of hornets (Vespa crabro), the largest species of wasps in Central Europe …",24
Does size really matter? A comparison of the Riata lead family based on size and its relation to performance,2008,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-8159.2008.01076.x,"R Corbisiero, R Armbruster - Pacing and clinical …, 2008 - Wiley Online Library","Background: Recently, the performance and safety of smaller diameter implantable cardioverter defibrillator (ICD) leads has been questioned. The purpose of this analysis was to determine the impact of size on lead performance and perforation rates by comparing the …",24
Individual–group discontinuity in group–individual interactions: Does size matter?,2009,https://journals.sagepub.com/doi/abs/10.1177/1368430208098781,"RP McGlynn, DJ Harding… - Group Processes & …, 2009 - journals.sagepub.com",The consistent finding that interactions involving groups are more competitive than interactions between individuals is known as the discontinuity effect. We investigated the effects of group size in order to determine whether the effect is a true discontinuity or a …,23
What does cruise passengers' satisfaction depend on? Does size really matter?,2018,https://www.sciencedirect.com/science/article/pii/S0278431917309647,"JI Castillo-Manzano, L López-Valpuesta - International Journal of …, 2018 - Elsevier","In a market characterized by gigantism and the trend toward the Las Vegas resort concept, our paper seeks to analyze passenger satisfaction when faced with the dilemma of a wider array of facilities and services, but at the cost of a cruise “en masse”. A sample of 105 …",23
Matters of fiber size and myonuclear domain: does size matter more than age?,2015,https://onlinelibrary.wiley.com/doi/abs/10.1002/mus.24669,"A Karlsen, C Couppé, JL Andersen… - Muscle & …, 2015 - Wiley Online Library","Introduction: The relationship between fiber size and myonuclear content is poorly understood. Methods: Biopsy cross‐sections from young and old trained and untrained healthy individuals were analyzed for fiber area and myonuclei, and 2 fiber‐size‐dependent …",22
Does size matter? An exploration of the role of body size on brand image perceptions,2015,https://www.emerald.com/insight/content/doi/10.1108/JPBM-05-2014-0616/full/html,"A Watson, NK Lecki, M Lebcir - Journal of Product & Brand …, 2015 - emerald.com",Purpose–This paper aims to investigate the role of body size on female consumers' fashion brand image perceptions. Design/methodology/approach–An experimental design was used whereby the model's body size in a fictitious advert was digitally manipulated to create …,22
Does size matter in aged care facilities? A literature review of the relationship between the number of facility beds and quality,2017,https://journals.lww.com/hcmrjournal/FullText/2017/10000/Does_size_matter_in_aged_care_facilities__A.5.aspx,"R Baldwin, L Chenoweth, M dela Rama… - Health care …, 2017 - journals.lww.com","Background: Theory suggests that structural factors such as aged care facility size (bed numbers) will influence service quality. There have been no recent published studies in support of this theory, and consequently, the available literature has not been useful in …",22
Does size matter? Maximising nutrient and biomass intake by shoot selection amongst herbivorous geese,2000,https://www2.dmu.dk/1_viden/2_publikationer/3_Ovrige/rapporter/TFO_Doctors_27art_web/25_383_391.pdf,"JN Kristiansen, AD Fox, G Nachman - Ardea, 2000 - dmu.dk","The selectivity of Greenland White-fronted Geese Anser albifrons flaviros-tris feeding on Timothy Phleum pratense hayfields in Iceland during their spring staging was studied in three fields of different shoot density (high, medium and low) and discussed in the context of …",22
The safety and efficacy of ERCP in the pediatric population with standard scopes: Does size really matter?,2016,https://springerplus.springeropen.com/articles/10.1186/s40064-016-1749-9,"AE Yıldırım, R Altun, S Ocal, M Kormaz… - …, 2016 - springerplus.springeropen.com",Experience with endoscopic retrograde cholangiopancreatography in the pediatric population is limited. The aim of this study was to evaluate the outcomes of ERCP in the pediatric population performed by adult gastroenterologists with standard duodenoscopes …,22
Pricing on the fish market—does size matter?,2015,https://www.journals.uchicago.edu/doi/abs/10.1086/680445,"E Sjöberg - Marine Resource Economics, 2015 - journals.uchicago.edu","The importance of fish size for price per kilo is studied using an inverse demand approach. Price per kilo in different size categories of the same species differs significantly. This means that the average price for a species may change due to eg, high grading or a changing …",21
Mini PCNL for renal calculi: does size matter?,2017,https://bjui-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bju.13839,"DB Hennessey, NK Kinnear, A Troy, D Angus… - BJU …, 2017 - Wiley Online Library",Objective To evaluate the minimally invasive percutaneous nephrolithotomy (MIP) system for renal calculi. Patients and Methods Consecutive patients undergoing mini‐percutaneous nephrolithotomy (mPCNL) procedures with the MIP system were enrolled. Patient position …,21
Human resource management in hospitality firms in Egypt: Does size matter?,2018,https://journals.sagepub.com/doi/abs/10.1177/1467358415619675,"AEE Sobaih - Tourism and Hospitality Research, 2018 - journals.sagepub.com","Small hospitality firms are very important to the Egyptian economy because of their potential contributions to economic growth and job creation. However, there is a paucity research about small hospitality firms in developing countries, ie Egypt. This research bridges a gap …",21
Does Size Matter? Factors Influencing the Spatial Ecology of Northern Pacific Rattlesnakes (Crotalus oreganus oreganus) in Central California,2013,https://meridian.allenpress.com/copeia/article-abstract/2013/3/485/115399,"BJ Putman, C Lind, EN Taylor - Copeia, 2013 - meridian.allenpress.com","The spatial ecology of animals is influenced by a combination of factors. Spatial ecology parameters are commonly calculated for rattlesnakes of the genus Crotalus, but they are highly variable within and among populations and species. Rattlesnake movements can be …",21
Does Size Matter? Organisational slack and visibility as alternative explanations for environmental responsiveness,2000,https://search.proquest.com/openview/ee911b4f808d22bcbbdccf8d0cfff79d/1?pq-origsite=gscholar&cbl=51922&diss=y,FE Bowen - 2000 - search.proquest.com,Does size matter in explaining firms' environmental responsiveness? Are large corporations more likely to engage with green issues for fear of losing stakeholder support? Are bigger companies greener because they have more resources to devote to environmental …,21
Does size matter? Fitness‐related factors in steelhead trout determined by genetic parentage assignment,2004,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/03-0488,"JE McLean, P Bentzen, TP Quinn - Ecology, 2004 - Wiley Online Library","Estimates of reproductive success and the factors that affect it can be inferred from observations of behavior or data on life history traits (eg, dominance hierarchies, clutch size). Genetic parentage analysis, however, can precisely determine the number of offspring …",21
Does size matter? Assessing the use of vessel length to manage fisheries in England,2018,https://www.sciencedirect.com/science/article/pii/S0308597X1830068X,"P Davies, C Williams, G Carpenter, BD Stewart - Marine Policy, 2018 - Elsevier","Abstract Recent European Union policy objectives have committed to support small-scale coastal fisheries (SSCF), but the characteristics and sustainability of SSCF in Europe are poorly understood. In the UK, there is no clear definition of 'small-scale'beyond a 10-m …",20
Subcellular scaling: does size matter for cell division?,2018,https://www.sciencedirect.com/science/article/pii/S0955067417300558,"R Heald, R Gibeaux - Current opinion in cell biology, 2018 - Elsevier","Among different species or cell types, or during early embryonic cell divisions that occur in the absence of cell growth, the size of subcellular structures, including the nucleus, chromosomes, and mitotic spindle, scale with cell size. Maintaining correct subcellular …",20
Board gender diversity and the technical efficiency of microfinance institutions: Does size matter?,2019,https://www.sciencedirect.com/science/article/pii/S1059056017308675,"M Adusei - International Review of Economics & Finance, 2019 - Elsevier",Does board gender diversity promote technical efficiency? Does the size of a microfinance institution (MFI) moderate the relation between board gender diversity and technical efficiency? This paper empirically addresses these two important questions with data (2010 …,20
Bank earnings volatility in the UK: Does size matter? A comparison between commercial and investment banks,2016,https://www.sciencedirect.com/science/article/pii/S0275531916300587,"KA Moutsianas, K Kosmidou - Research in International Business and …, 2016 - Elsevier","During the global financial crisis, the issue of banks' size and especially whether banks could be 'too big to fail'(TBTF) was raised. Our study focuses on the impact of size on bank earnings volatility in the UK, which is among the most open financial systems in the world …",20
Does size matter? Decompressive surgery under review,2015,https://link.springer.com/article/10.1007/s10143-015-0626-2,"AR Kurzbuch - Neurosurgical review, 2015 - Springer","In patients with traumatic brain injury (TBI) and ischemic hemispheric stroke (IHS), supratentorial decompressive craniectomy (DC) is performed when intracranial pressure (ICP) is unresponsive to medical treatment. There are numerous publications about the …",20
Large shocks vs. small shocks.(Or does size matter? May be so.),2006,https://www.sciencedirect.com/science/article/pii/S0304407605001727,"J Gonzalo, O Martínez - Journal of econometrics, 2006 - Elsevier","What are the shocks that drive economic fluctuations? The answer to this question requires as a first step solving the shock identification issue. This paper proposes a new identification scheme based on two aspects: the long-run effect of the shock (permanent or transitory), and …",20
First‐trimester intervention in twin reversed arterial perfusion sequence: does size matter?,2017,https://obgyn.onlinelibrary.wiley.com/doi/abs/10.1002/uog.16013,"M Roethlisberger, B Strizek, I Gottschalk… - … in Obstetrics & …, 2017 - Wiley Online Library",Objective To evaluate the outcome of first‐trimester intervention (12+ 0 to 14+ 0 weeks of gestation) in pregnancies complicated by twin reversed arterial perfusion (TRAP) sequence. Methods All monochorionic diamniotic twin pregnancies diagnosed with TRAP sequence …,20
Does size matter? Miniature pottery vessels in Minoan peak sanctuaries,2009,https://www.jstor.org/stable/27759943,"I Tournavitou - Hesperia Supplements, 2009 - JSTOR","In the Bronze Aegean, miniatures as a class encompass a wide range of votive objects including, apart from pottery, other types of artifacts such as offering tables, altars, lamps, double axes, human and animal figurines, and human limbs, all of which seem to have had …",20
Why does size matter? A test of the benefits of female mate choice in a teleost fish based on morphological and physiological indicators of male quality,2009,https://www.journals.uchicago.edu/doi/abs/10.1086/605934,"KC Hanson, SJ Cooke - Physiological and Biochemical …, 2009 - journals.uchicago.edu","In female mate choice, a female chooses a reproductive partner based on direct or indirect benefits to the female. While sexual selection theory regarding female mate choice is well developed, there are few mechanistic studies of the process by which females evaluate …",20
Six-Member Juries: Does Size Really Matter,1999,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/tenn67&section=32,"AM Chud, ML Berman - Tenn. L. Rev., 1999 - HeinOnline","New York City's outspoken mayor, Rudolph Giuliani, recently fulfilled his civic duty, by serving as the foreman of a six-member civil jury. Mayor Giuliani and five fellow New Yorkers heard a routine civil dispute involving a landlord and tenant. The case received media …",20
Does size matter in the cryptocurrency market?,2020,https://www.tandfonline.com/doi/abs/10.1080/13504851.2019.1673298,"Y Li, W Zhang, X Xiong, P Wang - Applied Economics Letters, 2020 - Taylor & Francis","This paper examines the size effect in the cryptocurrency market with a sample of more than 1800 cryptocurrencies over the period from January 2014 to May 2019. We find that cryptocurrencies with small market value tend to perform better in the future, which …",19
Does size matter? Investigating the optimal planning target volume margin for postoperative stereotactic radiosurgery to resected brain metastases,2018,https://thejns.org/view/journals/j-neurosurg/130/3/article-p797.xml,"J Jhaveri, M Chowdhary, X Zhang, RH Press… - Journal of …, 2018 - thejns.org","OBJECTIVE The optimal margin size in postoperative stereotactic radiosurgery (SRS) for brain metastases is unknown. Herein, the authors investigated the effect of SRS planning target volume (PTV) margin on local recurrence and symptomatic radiation necrosis …",19
